"","Subject","Response"
"1","EL-1",1
"2","EL-10",1
"3","EL-13",1
"4","EL-14",1
"5","EL-15",0
"6","EL-16",2
"7","EL-17",0
"8","EL-18",0
"9","EL-19",0
"10","EL-2",0
"11","EL-20",1
"12","EL-21",1
"13","EL-22",2
"14","EL-23",0
"15","EL-24",5
"16","EL-25",1
"17","EL-26",14
"18","EL-27",10
"19","EL-28",0
"20","EL-29",1
"21","EL-3",1
"22","EL-31",0
"23","EL-32",1
"24","EL-4",0
"25","EL-5",0
"26","EL-6",33
"27","EL-7",29
"28","EL-8",1
"29","EL-9",1
"30","HD-1",3
"31","HD-10",1
"32","HD-11",1
"33","HD-12",1
"34","HD-13",1
"35","HD-14",0
"36","HD-15",0
"37","HD-16",1
"38","HD-17",1
"39","HD-18",2
"40","HD-19",2
"41","HD-2",0
"42","HD-20",1
"43","HD-21",0
"44","HD-22",3
"45","HD-23",4
"46","HD-24",2
"47","HD-25",1
"48","HD-26",5
"49","HD-27",3
"50","HD-28",1
"51","HD-29",0
"52","HD-3",1
"53","HD-30",6
"54","HD-31",3
"55","HD-32",1
"56","HD-33",0
"57","HD-34",1
"58","HD-35",1
"59","HD-36",0
"60","HD-37",3
"61","HD-38",2
"62","HD-39",0
"63","HD-40",7
"64","HD-41",3
"65","HD-47",0
"66","HD-48",2
"67","HD-49",3
"68","HD-50",0
"69","HD-51",2
"70","HD-53",7
"71","HD-6",1
"72","HD-7",0
"73","HD-8",0
"74","HD-9",2
"75","LL-1",0
"76","LL-11",0
"77","LL-12",0
"78","LL-13",0
"79","LL-14",0
"80","LL-15",1
"81","LL-16",1
"82","LL-17",0
"83","LL-18",0
"84","LL-19",2
"85","LL-2",5
"86","LL-20",1
"87","LL-21",2
"88","LL-22",0
"89","LL-23",2
"90","LL-24",1
"91","LL-25",1
"92","LL-26",0
"93","LL-27",2
"94","LL-28",0
"95","LL-29",0
"96","LL-3",0
"97","LL-30",3
"98","LL-31",0
"99","LL-32",0
"100","LL-4",2
"101","LL-6",1
"102","LL-7",0
"103","LL-9",7
